Lp;Wymaganie w oparciu o specyfikacj©;;;
1;Wymagane s¥ 4 wersje aplikacji klienckiej;;;
2;Aplikacja posiada cz©˜† serwerow¥;;;
3;Aplikacja ma by† w j©zyku polskim;;;
4;jakie systemy operacyjne wspiera;;;
5;Nie jest wymagany instalator aplikacji;;;
6;Defekty w aplikacji s¥ oceniane wedˆug kryterium;;;
7;dane z cz©˜ci klienckiej maja by† dostarczane w postaci pliku tekstowego;;;
8;wszystkie zadania maj¥ zosta† zaimplementowane w aplikacji;;;
9;w ka¾dym zadaniu ma by† dokˆadnie jeden defekt;;;
10;wersja koäcowa nie mo¾e zawiera† zadaä z wersji demonstracyjnej;;;
11;wersje powinny r¢¾ni† si© tylko ilo˜ci¥ zadaä;;;
12;cz©˜† serwerowa powinna wspiera† windows 7;;;
13;j©zyk programowania oraz baza danych u¾yte do tworzenia nie powinny by† zdefiniowane;;;
14;aplikacja ma umo¾liwi† u¾ytkownikom poszukiwanie jednego defektu w ka¾dym ze stworzonych zadaä oraz ich raportowanie;;;
15;aplikacja ma generowa† dziennik zdarzeä cz©˜ci klienckiej;;;
16;w aplikacji koäcowej i publicznej ma by† nie mniej ni¾ 15 zadaä;;;
17;w wersji demonstracyjnej ma by† tylko jedno zadanie;;;
18;w przypadku dziaˆaj¥cego poˆ¥czenia sieciowego, dane z cz©˜ci klienckiej maj¥ by† dostarczane do cz©˜ci serwerowej bezpo˜rednio z aplikacji klienckiej;;;
19;w trybie czˆonka dru¾yny nie mo¾e by† mo¾liwo˜ci raportowania defekt¢w;;;
20;w przypadku braku poˆ¥czenia sieciowego, dane z cz©˜ci klienckiej maj¥ by† dostarczane do cz©˜ci serwerowej za pomoc¥ funkcji eksportu z cz©˜ci klienckiej i importu w cz©˜ci serwerowej;;;
21;"W przypadku utraty poˆ¥czenia sieciowego u¾ytkownik powinien mie† 
dalsz¥ mo¾liwo˜† wykonywania wszystkich czynno˜ci w aplikacji";;;
22;nie mo¾e by† mo¾liwo˜ci zmiany trybu pracy w trakcie jej dziaˆania;;;
23;kolejnosc zadan ma by† losowa;;;
24;Cz©˜† serwerowa ma gromadzi† raporty z zadaä od zawodnik¢w i dru¾yn;;;
25;Cz©˜† serwerowa ma prowadzi† klasyfikacj© generaln¥ w kategoriach indywidualnej i dru¾ynowej;;;
26;cz©˜† serwerowa ma wy˜wietla† klasyfikacj© generaln¥ na zewn©trznym monitorze;;;
27;Cz©˜† serwerowa ma automatycznie ocenia† poprawno˜† defekt¢w ;;;
28;Cz©˜† serwerowa ma umo¾liwi† komisji r©czn¥ zmian© ilo˜ci przyznanych punkt¢w za zadanie;;;
29;Cz©˜† serwerowa ma umo¾liwi† wygenerowanie raporty zbiorczego;;;
30;Cz©˜† serwerowa ma rejestrowa† wszystkie czynno˜ci w dzienniku zdarzeä ;;;
31;Aplikacja nie mo¾e utraci† danych w przypadku niespodziewanego jej zamkni©cia, tworzenie i wczytywanie kopii;;;
32;Cz©˜† serwerowa ma na bie¾¥co zlicza† ilo˜† odebranych raport¢w;;;
33;pole czas powinno wy˜wietla† czas do zakoäczenia rundy;;;
34;pole nr zadania powinno podawa† numer zadania;;;
35;pole opis problemu powinno zawiera† og¢ln¥ informacj© na temat zadania;;;
36;pole lista zadaä powinno umo¾liwia† nawigacj© pomi©dzy zadaniami;;;
37;przycisk zaraportuj defekt powinien pozwala† na zaraportowanie defektu aktualnie wy˜wietlanego w oknie zadania;;;
38;przycisk zakoäcz powinien zakaäcza† prac© nad wszystkimi zadaniami i wysyˆa† odpowiedzi do oceny;;;
39;u¾ytkownik powinien mie† mo¾liwo˜† potwierdzenia zakoäczenia;;;
40;okno zadania powinnno wy˜wietla† zadanie w kt¢rym s¥ defekty;;;
